year,zip_code,population,population_male,population_female,population_age_below_24,population_age_between_25_44,population_age_above_45,crimes_count,victims_count,victims_count_male,victims_count_female,victims_count_age_below_24,victims_count_age_between_25_44,victims_count_age_above_45,victims_count_white,victims_count_black,victims_count_hispanic,victims_count_other_races,unemployment_rate,unemployment_rate_male,unemployment_rate_female,unemployment_rate_age_below_24,unemployment_rate_age_between_25_44,unemployment_rate_age_above_45,unemployment_rate_white,unemployment_rate_black,unemployment_rate_hispanic,unemployment_rate_other_races,population_white,population_black,population_hispanic,population_other_races,cars_count,vans_count,campers_or_rvs_count,tents_count,homeless_individuals_count,median_gross_rent,median_income,median_income_male,median_income_female,median_income_age_below_24,median_income_age_between_25_44,median_income_age_above_45,median_income_white,median_income_black,median_income_hispanic,median_income_other_races,below_poverty_level_individuals_count,below_poverty_level_individuals_count_male,below_poverty_level_individuals_count_female,below_poverty_level_individuals_count_age_below_24,below_poverty_level_individuals_count_age_between_25_44,below_poverty_level_individuals_count_age_above_45,below_poverty_level_individuals_count_white,below_poverty_level_individuals_count_black,below_poverty_level_individuals_count_hispanic,below_poverty_level_individuals_count_other_races,housing_units_count,owner_occupied_housing_units_count,renter_occupied_housing_units_count
2010,90247,,,,,,,448.0,352.0,165.0,202.0,189.0,153.0,106.0,22.0,115.0,183.0,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,90248,,,,,,,269.0,187.0,136.0,83.0,113.0,69.0,87.0,45.0,40.0,69.0,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,90250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,90262,,,,,,,4.0,4.0,2.0,2.0,1.0,3.0,0.0,0.0,3.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,90265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,90272,,,,,,,560.0,519.0,255.0,287.0,95.0,195.0,270.0,421.0,20.0,25.0,77.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,90275,,,,,,,4.0,4.0,3.0,1.0,1.0,0.0,3.0,2.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,90280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,90290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,90291,,,,,,,2373.0,2032.0,1334.0,870.0,683.0,1098.0,592.0,1505.0,186.0,290.0,231.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,90292,,,,,,,424.0,350.0,189.0,182.0,105.0,175.0,144.0,256.0,37.0,31.0,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,90293,,,,,,,423.0,376.0,208.0,185.0,104.0,192.0,127.0,249.0,42.0,39.0,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,90301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,90302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,90304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,90305,,,,,,,3.0,3.0,0.0,3.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,90402,,,,,,,56.0,53.0,31.0,22.0,9.0,20.0,27.0,48.0,1.0,4.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,90403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,90404,,,,,,,11.0,10.0,3.0,7.0,2.0,8.0,1.0,4.0,2.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,90405,,,,,,,24.0,21.0,9.0,12.0,5.0,11.0,8.0,17.0,0.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,90501,,,,,,,586.0,457.0,290.0,214.0,251.0,219.0,116.0,102.0,86.0,214.0,102.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,90502,,,,,,,174.0,93.0,102.0,53.0,106.0,55.0,13.0,20.0,28.0,38.0,69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,90504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,90710,,,,,,,725.0,576.0,301.0,323.0,280.0,275.0,170.0,153.0,110.0,249.0,112.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,90717,,,,,,,75.0,54.0,39.0,28.0,36.0,22.0,17.0,21.0,4.0,20.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,90731,,,,,,,3777.0,3108.0,1777.0,1643.0,1319.0,1306.0,1152.0,1342.0,309.0,1303.0,470.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,90732,,,,,,,672.0,577.0,317.0,296.0,166.0,225.0,281.0,347.0,33.0,143.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,90744,,,,,,,2762.0,1989.0,1213.0,1059.0,1285.0,909.0,568.0,272.0,121.0,1565.0,314.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,90745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,90802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,90810,,,,,,,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,90813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,91011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,91030,,,,,,,4.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,91040,,,,,,,801.0,664.0,394.0,335.0,244.0,276.0,281.0,413.0,20.0,151.0,145.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,91042,,,,,,,1154.0,1003.0,580.0,471.0,328.0,408.0,418.0,506.0,29.0,260.0,256.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,91105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,91201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,91204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,91205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,91206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,91214,,,,,,,19.0,15.0,9.0,8.0,4.0,4.0,11.0,13.0,0.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,91302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
