quarter,zip_code,tract
2010_03,90057,06037208720
2010_03,90057,06037208800
2010_03,90057,06037208902
2010_03,90057,06037208903
2010_03,90057,06037208904
2010_03,90057,06037209401
2010_03,90057,06037209402
2010_03,90057,06037209403
2010_03,90057,06037211120
2010_03,90057,06037212204
2010_03,90058,06037206050
2010_03,90058,06037226000
2010_03,90058,06037227010
2010_03,90058,06037228100
2010_03,90058,06037228800
2010_03,90058,06037228900
2010_03,90058,06037532304
2010_03,90058,06037532400
2010_03,90058,06037532500
2010_03,90058,06037532700
2010_03,90058,06037533703
2010_03,90059,06037240800
2010_03,90059,06037240900
2010_03,90059,06037241000
2010_03,90059,06037242000
2010_03,90059,06037242600
2010_03,90059,06037242700
2010_03,90059,06037243000
2010_03,90059,06037243100
2010_03,90059,06037540300
2010_03,90059,06037540400
2010_03,90059,06037540501
2010_03,90059,06037540600
2010_03,90059,06037540700
2010_03,90059,06037540800
2010_03,90059,06037541100
2010_03,90059,06037541200
2010_03,90061,06037240800
2010_03,90061,06037240900
2010_03,90061,06037241000
2010_03,90061,06037241110
2010_03,90061,06037241120
2010_03,90061,06037241200
2010_03,90061,06037241300
2010_03,90061,06037241400
2010_03,90061,06037291110
2010_03,90061,06037291120
2010_03,90061,06037291130
2010_03,90061,06037540800
2010_03,90061,06037540901
2010_03,90061,06037540902
2010_03,90061,06037541200
2010_03,90062,06037231300
2010_03,90062,06037231400
2010_03,90062,06037231500
2010_03,90062,06037231600
2010_03,90062,06037232200
2010_03,90062,06037232300
2010_03,90062,06037232400
2010_03,90062,06037232500
2010_03,90062,06037232600
2010_03,90062,06037234000
2010_03,90062,06037234500
2010_03,90062,06037234600
2010_03,90063,06037201402
2010_03,90063,06037201700
2010_03,90063,06037203100
2010_03,90063,06037203200
2010_03,90063,06037203800
2010_03,90063,06037203900
2010_03,90063,06037204110
2010_03,90063,06037204120
2010_03,90063,06037204300
2010_03,90063,06037530601
2010_03,90063,06037530602
2010_03,90063,06037530700
2010_03,90063,06037530801
2010_03,90063,06037530802
2010_03,90063,06037530901
2010_03,90063,06037530902
2010_03,90063,06037531000
2010_03,90063,06037531101
2010_03,90063,06037531102
2010_03,90063,06037531201
2010_03,90063,06037531501
2010_03,90064,06037267100
2010_03,90064,06037267200
2010_03,90064,06037267600
2010_03,90064,06037267700
2010_03,90064,06037267800
2010_03,90064,06037267900
2010_03,90064,06037269000
2010_03,90064,06037269300
2010_03,90064,06037271100
2010_03,90064,06037271200
2010_03,90064,06037271300
2010_03,90064,06037271500
2010_03,90064,06037271600
2010_03,90064,06037271701
2010_03,90064,06037271702
2010_03,90065,06037181300
2010_03,90065,06037185100
2010_03,90065,06037185201
2010_03,90065,06037185202
2010_03,90065,06037185310
2010_03,90065,06037185320
2010_03,90065,06037186100
2010_03,90065,06037186200
2010_03,90065,06037186300
