year,zip_code,below_poverty_level_individuals_count,below_poverty_level_individuals_count_male,below_poverty_level_individuals_count_female,below_poverty_level_individuals_count_age_below_24,below_poverty_level_individuals_count_age_between_25_44,below_poverty_level_individuals_count_age_above_45,below_poverty_level_individuals_count_white,below_poverty_level_individuals_count_black,below_poverty_level_individuals_count_hispanic,below_poverty_level_individuals_count_other_races
2013,90212,956.0,388.0,568.0,168.0,638.0,150.0,641.0,69.0,80.0,246.0
2013,90230,3272.0,1328.0,1944.0,1011.0,1947.0,314.0,1718.0,458.0,1666.0,1096.0
2013,90232,1381.0,677.0,704.0,145.0,1041.0,195.0,902.0,191.0,527.0,288.0
2013,90245,808.0,391.0,417.0,237.0,517.0,54.0,634.0,28.0,244.0,146.0
2013,90247,9698.0,4391.0,5307.0,3704.0,5013.0,981.0,1290.0,2035.0,5956.0,6373.0
2013,90248,1181.0,600.0,581.0,283.0,698.0,200.0,360.0,121.0,848.0,700.0
2013,90250,17368.0,7593.0,9775.0,6739.0,9597.0,1032.0,7939.0,4525.0,10504.0,4904.0
2013,90262,16885.0,7352.0,9533.0,7997.0,8344.0,544.0,5393.0,1106.0,15450.0,10386.0
2013,90265,1625.0,697.0,928.0,259.0,1137.0,229.0,1248.0,46.0,238.0,331.0
2013,90272,1034.0,395.0,639.0,273.0,655.0,106.0,893.0,28.0,110.0,113.0
2013,90275,1884.0,791.0,1093.0,519.0,965.0,400.0,1007.0,191.0,154.0,686.0
2013,90280,19954.0,8560.0,11394.0,8228.0,10420.0,1306.0,8152.0,145.0,19545.0,11657.0
2013,90290,428.0,240.0,188.0,92.0,320.0,16.0,342.0,0.0,78.0,86.0
2013,90291,3589.0,2038.0,1551.0,696.0,2566.0,327.0,2410.0,466.0,1343.0,713.0
2013,90292,2221.0,784.0,1437.0,402.0,1593.0,226.0,1546.0,261.0,212.0,414.0
2013,90293,831.0,371.0,460.0,27.0,788.0,16.0,538.0,69.0,74.0,224.0
2013,90301,8435.0,3968.0,4467.0,3076.0,4848.0,511.0,2972.0,2240.0,5602.0,3223.0
2013,90302,5726.0,2827.0,2899.0,2098.0,3324.0,304.0,2037.0,1716.0,3808.0,1973.0
2013,90304,8973.0,4376.0,4597.0,3769.0,4899.0,305.0,2797.0,520.0,8076.0,5656.0
2013,90305,1709.0,750.0,959.0,532.0,1018.0,159.0,218.0,1315.0,331.0,176.0
2013,90402,630.0,292.0,338.0,64.0,459.0,107.0,522.0,29.0,94.0,79.0
2013,90403,2102.0,1037.0,1065.0,68.0,1461.0,573.0,1756.0,33.0,191.0,313.0
2013,90404,3117.0,1497.0,1620.0,474.0,2179.0,464.0,1918.0,248.0,1056.0,951.0
2013,90405,3361.0,1591.0,1770.0,190.0,2589.0,582.0,2327.0,142.0,424.0,892.0
