year,zip_code,unemployment_rate,unemployment_rate_male,unemployment_rate_female,unemployment_rate_age_below_24,unemployment_rate_age_between_25_44,unemployment_rate_age_above_45,unemployment_rate_white,unemployment_rate_black,unemployment_rate_hispanic,unemployment_rate_other_races
2012,90012,7.6,7.1,6.8,72.7,6.5,19.0,6.9,0.4,9.9,171.10000000000002
2012,90013,18.4,17.6,20.1,120.1,16.6,39.5,14.9,31.4,29.3,215.9
2012,90014,13.7,15.4,11.3,7.2,11.6,45.0,7.8,19.3,24.1,405.9
2012,90015,12.3,9.7,13.4,62.5,7.3,66.80000000000001,12.1,7.5,14.8,195.5
2012,90016,12.0,9.8,13.8,45.4,9.5,37.0,8.1,18.6,8.5,287.8
2012,90017,8.1,7.0,8.2,37.0,6.7,21.9,10.8,14.8,8.1,222.20000000000002
2012,90018,14.7,16.5,11.8,63.4,13.0,32.8,12.1,18.8,12.9,287.0
2012,90019,10.7,8.7,11.4,61.6,9.0,27.200000000000003,10.9,13.1,10.4,301.1
2012,90020,13.0,9.6,15.3,69.4,11.0,57.0,7.8,15.7,13.9,274.59999999999997
2012,90021,20.0,22.2,16.7,20.7,10.4,56.5,14.5,43.6,10.8,194.4
2012,90023,9.8,6.5,11.6,58.4,7.8,59.9,11.9,48.5,9.3,206.6
2012,90024,9.3,8.0,7.6,31.7,7.5,17.4,9.6,8.8,14.0,164.0
2012,90025,7.6,7.7,6.9,53.800000000000004,5.9,30.099999999999998,6.4,14.3,10.7,255.4
2012,90026,14.3,14.6,13.1,53.7,12.7,41.6,14.1,33.1,14.8,316.70000000000005
2012,90027,10.7,11.0,10.4,34.3,10.7,38.7,12.1,6.3,9.9,302.5
2012,90028,12.6,14.3,9.3,25.5,12.6,78.0,11.7,19.7,13.0,360.3
2012,90029,13.3,10.6,15.0,60.9,12.1,33.0,13.9,26.7,14.5,187.59999999999997
2012,90031,13.5,10.0,14.0,78.3,10.5,39.6,14.8,25.2,15.8,286.5
2012,90032,15.8,15.7,13.8,59.2,14.7,37.800000000000004,16.1,9.2,16.7,294.70000000000005
2012,90033,17.1,13.8,16.4,77.5,13.7,35.3,14.9,18.5,17.2,295.5
2012,90034,8.5,7.5,9.1,50.800000000000004,6.9,30.8,7.9,9.8,8.1,273.90000000000003
2012,90035,11.0,10.4,11.3,54.0,9.1,36.300000000000004,8.8,27.4,11.2,268.1
2012,90036,9.0,9.8,7.4,64.1,8.1,33.800000000000004,8.7,12.5,6.6,328.29999999999995
2012,90037,15.9,15.8,14.4,60.6,15.0,48.9,12.8,30.0,12.7,182.49999999999997
2012,90038,14.1,13.3,13.1,70.7,11.4,37.2,12.0,23.8,14.7,251.0
2012,90039,9.7,8.1,10.7,49.7,7.7,71.1,10.8,9.7,7.4,245.60000000000002
2012,90041,10.5,11.1,8.6,34.0,8.0,51.099999999999994,10.8,6.0,14.3,207.0
2012,90042,13.0,10.8,12.4,74.0,11.7,43.6,12.7,22.4,14.9,288.4
2012,90043,14.3,14.9,13.1,74.0,13.1,24.5,11.4,14.3,13.9,300.1
2012,90044,13.5,13.3,11.9,58.1,12.4,27.700000000000003,11.5,16.6,11.1,345.6
2012,90045,7.9,6.7,8.2,26.4,7.1,26.6,6.9,12.9,8.5,285.7
2012,90046,10.5,10.7,9.8,28.7,9.4,46.9,10.0,20.3,11.6,237.50000000000003
2012,90047,15.2,16.2,12.6,77.9,14.2,37.2,13.6,17.3,11.8,178.2
2012,90048,8.1,7.2,8.8,53.3,6.1,50.300000000000004,9.1,9.1,3.4,260.2
2012,90049,5.9,4.9,7.1,10.5,5.4,21.799999999999997,6.1,7.1,4.4,220.59999999999997
2012,90056,10.8,10.8,10.7,42.9,12.3,32.8,3.2,10.3,47.0,437.70000000000005
2012,90057,13.3,7.7,16.8,66.1,9.7,70.5,15.4,21.3,13.3,205.4
2012,90058,19.4,16.2,13.5,117.0,13.0,80.4,22.5,22.1,22.3,240.99999999999997
2012,90059,16.8,15.1,14.6,75.0,14.5,66.1,13.5,23.6,13.3,222.0
2012,90061,17.2,12.2,19.1,83.5,16.7,65.0,13.9,22.5,14.1,175.29999999999998
2012,90062,14.1,11.5,15.0,66.5,13.0,24.000000000000004,12.8,19.3,11.3,318.70000000000005
2012,90063,13.3,11.1,13.8,58.0,9.6,56.0,13.5,41.0,13.2,250.4
2012,90064,5.8,5.1,5.6,31.7,5.4,33.7,6.2,17.6,10.3,245.10000000000002
2012,90065,8.7,8.9,6.9,47.2,6.3,21.400000000000002,8.8,17.9,9.4,237.89999999999998
2012,90066,8.1,7.4,8.7,29.6,7.4,22.9,7.7,17.5,7.7,280.3
2012,90067,8.7,5.1,15.2,28.9,3.6,40.8,6.8,,38.5,181.1
2012,90068,10.3,11.4,8.4,58.099999999999994,7.8,40.9,10.0,4.0,13.0,257.0
2012,90069,8.1,9.0,7.3,13.2,6.3,29.799999999999997,8.9,0.0,7.0,172.1
2012,90071,,,,,,,,,,
2012,90073,42.1,49.5,0.0,100.0,49.1,98.1,68.8,18.2,56.8,184.3
2012,90077,6.4,9.3,4.7,29.5,10.8,13.8,6.7,18.2,0.0,31.5
2012,90079,,,,,,,,,,
2012,90089,7.5,6.7,0.0,13.799999999999999,0.0,0.0,10.5,0.0,30.3,102.8
2012,90090,,,,,,,,,,
2012,90094,13.8,13.1,14.3,5.2,13.2,74.8,9.5,35.0,0.0,269.8
2012,90095,,,,,,,,,,
