year,zip_code,median_income,median_income_male,median_income_female,median_income_age_below_24,median_income_age_between_25_44,median_income_age_above_45,median_income_white,median_income_black,median_income_hispanic,median_income_other_races
2012,90008,39661.0,38975.5,32323.5,34371.5,39508.0,37164.0,51065.5,41424.0,29677.0,41117.75
2012,90010,53353.0,47414.25,47781.0,55162.0,57258.0,39811.5,49532.5,58224.0,49355.0,80140.25
2012,90011,30198.0,25091.0,21143.25,27771.5,28460.0,28924.0,38310.0,21947.0,31433.0,33795.0
2012,90012,26094.0,49190.0,26255.25,21899.0,53007.0,21877.5,63428.0,31957.0,28656.0,27155.5
2012,90013,17072.0,40900.75,51933.0,17989.5,44222.0,12706.5,51754.0,11780.0,12075.0,13246.25
2012,90014,12358.0,23682.0,20623.0,21491.5,37360.0,10882.5,36443.0,5584.0,14320.0,17858.0
2012,90015,26579.0,29059.75,18996.5,20908.0,33374.0,20815.0,49119.5,33788.0,24854.0,17532.0
2012,90016,36266.0,32391.75,28699.0,29859.5,35205.0,36827.5,63395.5,30251.0,40850.0,43218.8
2012,90017,21576.0,28330.25,17492.0,15858.0,27114.0,18021.0,39004.5,14717.0,19294.0,31519.6
2012,90018,35178.0,32938.25,23437.0,31662.0,35837.0,31306.0,55962.0,32264.0,36686.0,30983.6
2012,90019,41261.0,40587.75,41503.0,35630.5,44844.0,37687.0,63195.0,40730.0,32368.0,39874.6
2012,90020,38575.0,40536.75,32885.0,33152.0,39240.0,32687.5,41058.0,36634.0,34074.0,37152.0
2012,90021,13504.0,64827.0,38449.333333333336,22427.5,26958.0,12200.0,26334.5,10299.0,16724.0,28446.666666666668
2012,90023,33875.0,31686.25,17627.0,30081.0,33230.0,30781.5,32609.0,39615.0,34442.0,33012.0
2012,90024,61868.0,49767.5,38233.25,79733.0,73561.0,92139.5,73228.5,83325.0,51250.0,28451.0
2012,90025,72625.0,64276.5,63308.5,66606.5,86593.0,59630.5,73712.5,81212.0,49107.0,85086.2
2012,90026,44901.0,49984.25,42906.25,30959.5,51795.0,38814.0,56160.0,21018.0,35816.0,33722.2
2012,90027,47210.0,59956.25,39784.5,49141.5,58256.0,35310.0,47150.0,52035.0,38690.0,52936.5
2012,90028,30393.0,38224.0,28874.25,22650.5,42007.0,22657.5,31932.0,21881.0,32201.0,27770.5
2012,90029,35502.0,38917.5,28435.75,30448.5,42891.0,27090.0,38295.5,25321.0,32188.0,42698.25
2012,90031,33019.0,39357.0,27401.25,30016.0,35870.0,29546.0,49738.0,26277.0,32251.0,29533.25
2012,90032,46695.0,50712.5,33945.0,36491.0,47736.0,44567.5,52717.0,49211.0,45270.0,44052.5
2012,90033,28773.0,27074.25,18624.75,27040.5,32094.0,26814.0,33356.0,20565.0,29602.0,33013.6
2012,90034,56930.0,51612.5,52607.0,50865.0,63889.0,48789.0,62699.5,51571.0,39840.0,61862.0
2012,90035,73161.0,64735.5,51278.5,91729.5,91673.0,52231.5,76532.5,46579.0,79414.0,58184.25
2012,90036,72264.0,73849.25,62061.5,59218.0,75055.0,64157.5,72997.0,83362.0,49941.0,76224.5
2012,90037,27072.0,22061.5,18247.5,23734.0,26382.0,26547.5,26178.5,21647.0,29523.0,23820.25
2012,90038,35700.0,34117.75,39129.75,32291.0,44499.0,26407.5,41562.0,26637.0,31387.0,38648.0
2012,90039,64073.0,70891.0,49793.75,48103.0,75517.0,47893.0,70912.5,78281.0,44094.0,61808.6
2012,90041,64820.0,44609.25,51348.0,57410.5,76741.0,52688.0,65884.5,44907.0,54056.0,79790.5
2012,90042,51437.0,49516.75,47395.75,38937.5,58341.0,44968.0,60061.0,42831.0,44217.0,48239.75
2012,90043,42043.0,31928.0,40979.25,38454.0,41250.0,42437.0,79317.0,41677.0,41427.0,50618.0
2012,90044,29481.0,27314.75,21496.25,23332.5,29517.0,28261.0,39104.0,25205.0,33041.0,38800.0
2012,90045,79913.0,65374.5,44977.75,68374.5,86675.0,74674.5,95695.5,49415.0,83295.0,55917.0
2012,90046,52593.0,69326.75,43285.75,67345.5,64499.0,36730.0,51618.0,56220.0,50880.0,57092.5
2012,90047,43034.0,52952.25,29412.75,36758.5,44223.0,42684.5,55665.0,41618.0,44603.0,67022.25
2012,90048,75472.0,82320.75,58617.0,95654.5,87771.0,64271.0,79349.0,69917.0,54260.0,52783.333333333336
2012,90049,113792.0,116658.25,83689.25,135872.0,106912.0,128524.5,118150.0,20264.0,75682.0,85093.66666666667
2012,90056,85347.0,66938.0,59678.75,77226.5,88708.0,88816.0,91541.5,83269.0,49238.0,62358.5
2012,90057,27854.0,27789.5,23548.75,26056.0,30792.0,21445.5,29860.5,17902.0,27102.0,31157.4
2012,90058,17355.0,22759.25,14516.666666666666,12831.0,19375.0,17727.5,42620.0,17297.0,16936.0,30657.5
2012,90059,33605.0,29177.5,15948.75,24493.5,30841.0,32638.5,40197.5,30424.0,37038.0,33909.0
