year,zip_code,median_gross_rent
2016,90066,1501.0
2016,90067,2372.0
2016,90068,1560.0
2016,90069,1631.0
2016,90071,
2016,90073,
2016,90077,2418.0
2016,90079,
2016,90089,
2016,90090,
2016,90094,2624.0
2016,90095,
2016,90210,2274.0
2016,90211,1762.0
2016,90212,2009.0
2016,90230,1553.0
2016,90232,1546.0
2016,90245,1638.0
2016,90247,1150.0
2016,90248,1180.0
2016,90250,1084.0
2016,90262,1057.0
2016,90265,2736.0
2016,90272,2530.0
2016,90275,2348.0
2016,90280,1012.0
2016,90290,1884.0
2016,90291,1780.0
2016,90292,2463.0
2016,90293,1834.0
2016,90301,1106.0
2016,90302,1151.0
2016,90304,1021.0
2016,90305,1296.0
2016,90402,1875.0
2016,90403,1745.0
2016,90404,1449.0
2016,90405,1589.0
2016,90501,1239.0
2016,90502,1407.0
2016,90504,1359.0
2016,90710,1101.0
2016,90717,1258.0
2016,90731,1167.0
2016,90732,1776.0
2016,90744,1032.0
2016,90745,1387.0
2016,90802,1092.0
2016,90810,1085.0
2016,90813,972.0
2016,91011,2000.0
2016,91030,1464.0
2016,91040,1201.0
2016,91042,1211.0
2016,91105,2106.0
2016,91201,1335.0
2016,91204,1237.0
2016,91205,1253.0
2016,91206,1365.0
2016,91214,1662.0
2016,91302,2176.0
2016,91303,1287.0
2016,91304,1289.0
2016,91306,1212.0
2016,91307,2576.0
2016,91311,1567.0
2016,91316,1459.0
2016,91321,1399.0
2016,91324,1535.0
2016,91325,1356.0
2016,91326,1820.0
2016,91330,
2016,91331,1315.0
2016,91335,1249.0
2016,91340,1217.0
2016,91342,1389.0
2016,91343,1183.0
2016,91344,1621.0
2016,91345,1430.0
2016,91352,1232.0
2016,91356,1363.0
2016,91364,1964.0
2016,91367,1841.0
2016,91371,
2016,91401,1212.0
2016,91402,1128.0
2016,91403,1591.0
2016,91405,1110.0
2016,91406,1193.0
2016,91411,1197.0
2016,91423,1614.0
2016,91436,2189.0
2016,91501,1468.0
2016,91504,1399.0
2016,91505,1627.0
2016,91506,1324.0
2016,91601,1289.0
2016,91602,1499.0
2016,91604,1724.0
2016,91605,1157.0
2016,91606,1159.0
2016,91607,1340.0
2016,91608,
2016,91754,1211.0
2016,91801,1248.0
2016,91803,1203.0
